-6.267700194502059396e-01,1.651346668151035535e-01,5.365550577908563545e-02,3.611468598761847365e-02,-1.019879704719146851e-01,-4.129278251369560282e-01
6.302402994784847001e-01,1.622199959302121908e-01,-5.186072719023058358e-02,2.158962136878164739e-02,-2.786786531355515129e-01,-5.272289428333816197e-01
6.176319088435936466e-01,1.589725502796255352e-01,-5.084473362398576196e-02,2.095846411521488581e-02,-2.740305172763923269e-01,-5.164159216410517672e-01
6.052697446949273363e-01,1.557883214383466164e-01,-4.984767884293207774e-02,2.035398983743971074e-02,-2.694919293412739725e-01,-5.057913043193703606e-01
5.931489923668707975e-01,1.526660901460077380e-01,-4.886922988768167136e-02,1.974809839955164736e-02,-2.650585541523952648e-01,-4.953580953573530343e-01
5.812649317714106978e-01,1.496046599384068532e-01,-4.790905881322404802e-02,1.911298842928822739e-02,-2.607241072625087197e-01,-4.851241554400421152e-01
5.696129355279961892e-01,1.466028567692927165e-01,-4.696684264740685205e-02,1.841040577651009355e-02,-2.564751373622677910e-01,-4.751077478626331563e-01
5.581884671297188127e-01,1.436595286350407785e-01,-4.604226334872338344e-02,1.768684184035702531e-02,-2.522622364967792019e-01,-4.653252028184898248e-01
5.469870791452779990e-01,1.407735452024892753e-01,-4.513500776336971249e-02,1.730732822758052764e-02,-2.480178407351758540e-01,-4.556934264971953530e-01
5.360044114561841599e-01,1.379437974401649947e-01,-4.424476758154705786e-02,1.693903236356768954e-02,-2.438271543608694081e-01,-4.462515863129083993e-01
5.252361895286362659e-01,1.351691972531083030e-01,-4.337123929300217007e-02,1.658095759585310677e-02,-2.396899485059829082e-01,-4.369963894165274088e-01
5.146782227195113579e-01,1.324486771214798686e-01,-4.251412414181002936e-02,1.623232695881982740e-02,-2.356062848444784308e-01,-4.279244499865745843e-01
5.043264026158784663e-01,1.297811897431026540e-01,-4.167312808041315902e-02,1.589253549303204505e-02,-2.315763416364583493e-01,-4.190323511136918033e-01
4.941767014074707753e-01,1.271657076800802311e-01,-4.084796172293937710e-02,1.556108243738315612e-02,-2.276004227989464890e-01,-4.103166408058025461e-01
4.842251702915172928e-01,1.246012230096070900e-01,-4.003834029782885745e-02,1.523754804008044944e-02,-2.236788929865567987e-01,-4.017738555042232873e-01
4.744679379093594274e-01,1.220867469790741650e-01,-3.924398359980531270e-02,1.492157184164356193e-02,-2.198121612676400272e-01,-3.934005259408188682e-01
4.649012088142657761e-01,1.196213096655506652e-01,-3.846461594123094102e-02,1.461284022617670951e-02,-2.160006541095777222e-01,-3.851931880795732011e-01
4.555212619698602028e-01,1.172039596397193850e-01,-3.769996610288871286e-02,1.431107655333306583e-02,-2.122448001868470213e-01,-3.771483900962975255e-01
4.463244492785876094e-01,1.148337636343206292e-01,-3.694976728423801648e-02,1.401603401723529665e-02,-2.085450167154618839e-01,-3.692626993218134368e-01
4.373071941396393103e-01,1.125098062171519114e-01,-3.621375705319029165e-02,1.372749012490164303e-02,-2.049016995867156687e-01,-3.615327080043777008e-01
4.284659900357697948e-01,1.102311894686627686e-01,-3.549167729545481265e-02,1.344524242430369075e-02,-2.013152156896454437e-01,-3.539550384095865310e-01
4.197973991484403311e-01,1.079970326641657846e-01,-3.478327416350224244e-02,1.316910514153500980e-02,-1.977858971823133749e-01,-3.465263472362108410e-01
